"text","href"
"There is no such thing as “internet addiction”","https://medium.com/enrique-dans/there-is-no-such-thing-as-internet-addiction-5ecb86906b1f?source=reading_list---4------1-----------"
"","https://medium.com/@edans"
"Imperfection is the only thing we will have left","https://thedisruptivefuture.com/imperfection-is-the-only-thing-we-will-have-left-f4eb8330d976?source=reading_list---4------2-----------"
"","https://thedisruptivefuture.com/@realronmcdaniel"
"Blockchain: The Pro's and Con's of a Technology that Will Affect our Future","https://medium.com/totvslabs/blockchain-the-pros-and-con-s-of-a-technology-that-will-affect-our-future-f67037da7d64?source=reading_list---4------3-----------"
"","https://medium.com/@katherine.casey"
"Silicon Valley Needs to Stop Pimping Out Patients to Alleviate White Guilt","https://thedevelopmentset.com/silicon-valley-needs-to-stop-pimping-out-patients-to-alleviate-white-guilt-bc94b4a17885?source=reading_list---4------4-----------"
"","https://thedevelopmentset.com/@jfoth"
"Breaking Up With Sephora","https://thebillfold.com/breaking-up-with-sephora-263087e64d49?source=reading_list---4------0-----------"
"","https://thebillfold.com/@janineannett"
"How to Avoid Becoming a Pod Person","https://movietime.guru/how-to-avoid-becoming-a-pod-person-87d3da4e101d?source=reading_list---4------1-----------"
"","https://movietime.guru/@rossjedwards"
"The Life of a Millenial Burn(t) Out","https://medium.com/@jessibowtf/the-life-of-a-millenial-burn-t-out-16ebe64e5174?source=reading_list---4------2-----------"
"","https://medium.com/@jessibowtf"
"Living It Up at the Hotel California","https://medium.com/stories-ive-been-meaning-to-tell-you/living-it-up-at-the-hotel-california-b520690f69fa?source=reading_list---4------3-----------"
"","https://medium.com/@andyromanoff"
"Should you beg your partner to stay?","https://psiloveyou.xyz/should-you-beg-your-partner-to-stay-d6a79478a814?source=reading_list---4------4-----------"
"","https://psiloveyou.xyz/@mumayank"
"From Snowflake to Trumpkin: How political slang is killing the discourse","https://extranewsfeed.com/from-snowflake-to-trumpkin-how-political-slang-is-killing-the-discourse-f8af76a663f5?source=reading_list---4------0-----------"
"","https://extranewsfeed.com/@Goodsvejk"
"Margaret Atwood Is Still Seeing the Future","https://theringer.com/handmaids-tale-margaret-atwood-novel-hulu-adaptation-22a8a87629aa?source=reading_list---4------1-----------"
"","https://theringer.com/@alison.herman"
"Kendrick Lamar Is Hip-Hop’s King—But for How Long?","https://medium.com/@PaulCantor/kendrick-lamar-is-hip-hops-king-but-for-how-long-5a3ae25d4e3d?source=reading_list---4------2-----------"
"","https://medium.com/@PaulCantor"
"Everything Goes Dumb, Part 1: A Retrospective On Streetlight Manifesto’s 2003 Debut AlbumEvery so often, I’ll try and hunt down something on my iPod that I don’t listen to anymore as a way to seek some small thrill out of re…","https://medium.com/@rudehunch/everything-goes-dumb-part-1-a-retrospective-on-streetlight-manifestos-2003-debut-album-87b7f9028630?source=reading_list---4------3-----------"
"","https://medium.com/@rudehunch"
"Opinion: Can you separate the artist from their art? Should you?","https://medium.com/@ebonstorm/opinion-can-you-separate-the-artist-from-their-art-should-you-5a51ad54530a?source=reading_list---4------4-----------"
"","https://medium.com/@ebonstorm"
"The Skill That Grew My Company 600%","https://medium.com/swlh/the-skill-that-grew-my-company-600-753e97195cdc?source=reading_list---4------0-----------"
"","https://medium.com/@mitchellharper"
"What My Obsession with Snapchat Taught Me About Personal Branding","https://startupsventurecapital.com/what-my-obsession-with-snapchat-taught-me-about-personal-branding-3920f8914861?source=reading_list---4------1-----------"
"","https://startupsventurecapital.com/@JessicaZweig_"
"Never ever be passionate.","https://medium.com/do-contribute/never-ever-be-passionate-d84a4554bda8?source=reading_list---4------2-----------"
"","https://medium.com/@dolectures"
"Why I want my employees to leave their jobs","https://medium.com/startup-grind/why-i-want-my-employees-to-leave-their-jobs-95a652f519fb?source=reading_list---4------3-----------"
"","https://medium.com/@invoker"
"What world-class communicators do differently: 3 lessons from neuroscience","https://medium.com/the-mission/what-world-class-communicators-do-differently-3-lessons-from-neuroscience-37c5f29b9837?source=reading_list---4------4-----------"
"","https://medium.com/@Ellie_"
"The search for a better accessibility symbol is solving the wrong design problem","https://medium.com/@alexhaagaard/the-search-for-a-better-accessibility-symbol-is-solving-the-wrong-design-problem-894e6d5e8044?source=reading_list---4------0-----------"
"","https://medium.com/@alexhaagaard"
"0 to 60 brand design","https://medium.com/@kellyrauwerdink/0-to-60-brand-design-b695878a4c16?source=reading_list---4------1-----------"
"","https://medium.com/@kellyrauwerdink"
"How to analyze usability from motion","https://medium.com/ux-in-motion/how-to-analyze-usability-from-motion-a0fef627b4ee?source=reading_list---4------2-----------"
"","https://medium.com/@ux_in_motion"
"How Facebook will kill the gradient","https://medium.muz.li/how-facebook-killed-the-gradient-6eebdf1110f0?source=reading_list---4------3-----------"
"","https://medium.muz.li/@brittanyjezouit"
"Gamification in UX. Increasing User Engagement.","https://uxplanet.org/gamification-in-ux-increasing-user-engagement-6437cbf702aa?source=reading_list---4------4-----------"
"","https://uxplanet.org/@tubikstudio"
"Help","https://help.medium.com"
"Status","https://medium.statuspage.io"
"Blog","https://medium.com/3minread"
"Careers","https://jobs.medium.com"
"Privacy","https://medium.com/policy/f03bf92035c9"
"Terms","https://medium.com/policy/9db0094a1e0f"
"About","https://about.medium.com"
"Sign in / Sign up","https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fsearch"
"iOS","https://itunes.apple.com/app/medium-everyones-stories/id828256236?pt=698524&mt=8"
"Android","https://play.google.com/store/apps/details?id=com.medium.reader"
"Sign in / Sign up","https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Ftopic%2Fpopular"
"Jack Dorsey on Donald Trump","https://backchannel.com/jack-dorsey-on-donald-trump-9864d2e542f4?source=topic---8------0-----------"
"","https://medium.com/@stevenlevy"
"The Domain Name System (DNS) is the backbone of the internet. Here’s how it all works.","https://medium.freecodecamp.com/the-domain-name-system-dns-is-the-backbone-of-the-internet-heres-how-it-all-works-5706d0afa0fa?source=topic---8------2-----------"
"","https://medium.com/@nikodonnell"
"Why Companies Are Not Startups","https://medium.com/startup-grind/why-companies-are-not-startups-41e5785e0b4e?source=topic---8------3-----------"
"the three hot trends in Silicon Valley horseshit","https://medium.com/@freddiedeboer/the-three-hot-trends-in-silicon-valley-horseshit-95cc5a85e8a4?source=topic---8------1-----------"
"On Policing Disability","https://medium.com/@carolynzaikowski/on-policing-disability-5524145d0528?source=topic---8------4-----------"
"","https://medium.com/@carolynzaikowski"
"10 Things You Can Do This Morning To Heal Your Anxiety","https://medium.com/personal-growth/10-things-you-can-do-this-morning-to-heal-your-anxiety-d1e320aef4b1?source=topic---8------0-----------"
"","https://medium.com/@benjaminjfoley"
"The Myth of a Superhuman AI","https://backchannel.com/the-myth-of-a-superhuman-ai-59282b686c62?source=topic---8------2-----------"
"","https://medium.com/@kevin2kelly_95328"
"Kevin Kelly","https://backchannel.com/@kevin2kelly_95328"
"Coding on a Chromebook","https://headmelted.com/coding-on-a-chromebook-84335cce96c8?source=topic---8------3-----------"
"","https://medium.com/@headmelted"
"Jay Rodgers","https://headmelted.com/@headmelted"
"What I Hate About Dating Women vs What I Hate About Dating Men","https://medium.com/@emmalindsay/what-i-hate-about-dating-women-vs-what-i-hate-about-dating-men-bb2699ba182b?source=topic---8------1-----------"
"","https://medium.com/@emmalindsay"
"The Familiar Lousiness of the ESPN Layoffs","https://theringer.com/espn-layoffs-d7fad2feb8d5?source=topic---8------4-----------"
"","https://medium.com/@bryancurtis"
"Bryan Curtis","https://theringer.com/@bryancurtis"
"Anything Is Possible If You’re Willing to Put In the Work","https://journal.thriveglobal.com/anything-is-possible-if-you-pay-the-price-299fa795d710?source=topic---8------0-----------"
"","https://medium.com/@benjaminhardy"
"Benjamin P. Hardy","https://journal.thriveglobal.com/@benjaminhardy"
"10 Rules to Follow When Composing a Photo","https://medium.com/photographytalk/10-rules-to-follow-when-composing-a-photo-a000f5fbfd7a?source=topic---8------1-----------"
"","https://medium.com/@PhotographyTalk"
"52 Research Terms you need to know as a UX Designer","https://uxplanet.org/51-research-terms-you-need-to-know-as-a-ux-designer-fac0d40a59d7?source=topic---8------2-----------"
"","https://medium.com/@ligertwoodguy"
"Guy Ligertwood","https://uxplanet.org/@ligertwoodguy"
"Bill O’Reilly Is in Exile","https://theringer.com/bill-oreilly-fox-podcast-no-spin-news-cdf9f29b2739?source=topic---8------0-----------"
"Massive Open Online Courses used to be 100% free. But they didn’t stay that way.","https://medium.freecodecamp.com/massive-open-online-courses-started-out-completely-free-but-where-are-they-now-1dd1020f59?source=topic---8------1-----------"
"","https://medium.com/@dhawalhs"
"Dhawal Shah","https://medium.freecodecamp.com/@dhawalhs"
"How To Hug The Man That Killed Your Wife","https://medium.com/vegar/how-to-hug-the-man-that-killed-your-wife-6f68c2ef57ac?source=topic---8------2-----------"
"","https://medium.com/@vegars"
"This 10-Minute Routine Will Increase Your Clarity And Creativity","https://journal.thriveglobal.com/this-10-minute-routine-will-increase-your-clarity-and-creativity-b095efe8d815?source=topic---8------0-----------"
"How I Get Shit Done Despite Having ADD: Here’s What You Can Learn From my Experiences","https://medium.com/the-mission/how-i-get-shit-done-despite-having-add-heres-what-you-can-learn-from-my-experiences-a602a028855c?source=topic---8------2-----------"
"","https://medium.com/@skooloflife"
"The Four Part Framework to Naturally Heal Your Anxiety","https://medium.com/personal-growth/the-four-part-framework-to-naturally-heal-your-anxiety-22226ce6020a?source=topic---8------3-----------"
"Would You Survive a Movie Gunfight?","https://theringer.com/would-you-survive-a-movie-gunfight-21fbfa875dc6?source=topic---8------1-----------"
"","https://medium.com/@shea.sherrano"
"Shea Serrano","https://theringer.com/@shea.sherrano"
"Don’t Promise","https://m.signalvnoise.com/dont-promise-6433aaf9c9c9?source=topic---8------4-----------"
"","https://medium.com/@jasonfried"
"Jason Fried","https://m.signalvnoise.com/@jasonfried"
"Sheryl Sandberg’s Accidental Revolution","https://backchannel.com/sheryl-sandbergs-accidental-revolution-9fadfcf90d6d?source=topic---8------0-----------"
"","https://medium.com/@jessiwrites"
"Jessi Hempel","https://backchannel.com/@jessiwrites"
"Tough Luck Destroyers of Hillary Clinton: You Won the Battle, You Won’t Win the War","https://medium.com/@sashastone/tough-luck-destroyers-of-hillary-clinton-you-won-the-battle-you-wont-win-the-war-e4318c76f960?source=topic---8------1-----------"
"","https://medium.com/@sashastone"
"Here’s Why Juicero’s Press is So Expensive","https://blog.bolt.io/heres-why-juicero-s-press-is-so-expensive-6add74594e50?source=topic---8------2-----------"
"","https://medium.com/@BenEinstein"
"Ben Einstein","https://blog.bolt.io/@BenEinstein"
"Sign in / Sign up","https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Ftopic%2Ffuture"
"Science","https://medium.com/topic/science"
"Virtual Reality vs Augmented Reality— What’s The Difference?","https://virtualrealitypop.com/virtual-reality-vs-augmented-reality-whats-the-difference-a650a4b3895f?source=topic---8------0-----------"
"","https://medium.com/@Alexandheir"
"Alex Balladares","https://virtualrealitypop.com/@Alexandheir"
"What happens to insurance once our cars are autonomous?","https://medium.com/startup-grind/letter-to-sacramento-autonomous-vehicle-regulators-ca-dmv-2d3c7ba30252?source=topic---8------2-----------"
"","https://medium.com/@chriskelvinlee"
"Fast Digital","https://medium.com/@stinajonsson/fast-digital-7ac67c37f6a?source=topic---8------3-----------"
"","https://medium.com/@stinajonsson"
"Silicon Valley Needs to Stop Pimping Out Patients to Alleviate White Guilt","https://thedevelopmentset.com/silicon-valley-needs-to-stop-pimping-out-patients-to-alleviate-white-guilt-bc94b4a17885?source=topic---8------1-----------"
"","https://medium.com/@jfoth"
"Data is the New Dollar: The Future of Value","https://medium.com/towards-data-science/data-is-the-new-dollar-the-future-of-value-79cf4347b2ce?source=topic---8------4-----------"
"","https://medium.com/@willmurphy"
"Welcome, robot overlords","https://medium.com/bloomberg/welcome-robot-overlords-7dd73d0eb86f?source=topic---8------0-----------"
"Imperfection is the only thing we will have left","https://thedisruptivefuture.com/imperfection-is-the-only-thing-we-will-have-left-f4eb8330d976?source=topic---8------2-----------"
"","https://medium.com/@realronmcdaniel"
"Blockchain: The Pro's and Con's of a Technology that Will Affect our Future","https://medium.com/totvslabs/blockchain-the-pros-and-con-s-of-a-technology-that-will-affect-our-future-f67037da7d64?source=topic---8------3-----------"
"There is no such thing as “internet addiction”","https://medium.com/enrique-dans/there-is-no-such-thing-as-internet-addiction-5ecb86906b1f?source=topic---8------1-----------"
"A Beginners Guide To Making Yourself Artificially Intelligent • (It’s A Lot Easier Than You Think)","https://uxdesign.cc/a-beginners-guide-to-making-yourself-artificially-intelligent-its-a-lot-easier-than-you-think-3d89f80b50c7?source=topic---8------4-----------"
"","https://medium.com/@elliotsoren"
"Elliot Soren","https://uxdesign.cc/@elliotsoren"
"Is Your City Ready for Global Warming’s Coming Heat Waves?","https://psmag.com/is-your-city-ready-for-global-warmings-coming-heat-waves-87383742cfa?source=topic---8------0-----------"
"","https://medium.com/@bberwyn"
"Bob Berwyn","https://psmag.com/@bberwyn"
"Access Denied! Why You Should Care about Net Neutrality","https://medium.com/truman-doctrine-blog/access-denied-why-you-should-care-about-net-neutrality-f6d9dccedf00?source=topic---8------1-----------"
"","https://medium.com/@TrumanProject"
"State of AI: How did we get here, and where are we going next?","https://hackernoon.com/state-of-ai-how-did-we-get-here-and-where-are-we-going-next-2e2196049547?source=topic---8------2-----------"
"","https://medium.com/@azeem"
"azeem","https://hackernoon.com/@azeem"
"The Deep Learning Rut","https://humanizing.tech/the-deep-learning-rut-d7ba5c66aef1?source=topic---8------0-----------"
"","https://medium.com/@interintelligence"
"Timothy Busbice","https://humanizing.tech/@interintelligence"
"Would You Listen to the Radio in a Self-Driving Car?","https://medium.com/@laskyjoshua/would-you-listen-to-the-radio-in-a-self-driving-car-10369a071e81?source=topic---8------1-----------"
"","https://medium.com/@laskyjoshua"
"Design In An Age of Artificial Intelligence","https://medium.com/startup-grind/design-in-an-age-of-artificial-intelligence-739e656b44ba?source=topic---8------2-----------"
"","https://medium.com/@blakehudelson"
"I was late to the VR party. But now I’ve arrived (and it’s going off)","https://medium.com/@NEVERBLAND/i-was-late-to-the-vr-party-but-now-ive-arrived-and-it-s-going-off-c25261156f66?source=topic---8------0-----------"
"","https://medium.com/@NEVERBLAND"
"Mark Zuckerberg Doesn’t Want to be President","https://blog.spaceship.com.au/mark-zuckerberg-doesnt-want-to-be-president-bc32848db9b8?source=topic---8------2-----------"
"","https://medium.com/@AbiTyasTunggal"
"Abi Tyas Tunggal","https://blog.spaceship.com.au/@AbiTyasTunggal"
"Social media intelligence and profiling in the insurance industry…","https://medium.com/@privacyint/social-media-intelligence-and-profiling-in-the-insurance-industry-4958fd11f86f?source=topic---8------3-----------"
"","https://medium.com/@privacyint"
"Get Real, People. Facebook is Bad for Bots.","https://medium.com/@Chatbotcopy/get-real-people-facebook-is-bad-for-bots-76b4622e3d49?source=topic---8------1-----------"
"","https://medium.com/@Chatbotcopy"
"The Dildo of Damocles","https://theawl.com/the-dildo-of-damocles-1731dc6e8e3e?source=topic---8------4-----------"
"Mark Hay","https://theawl.com/@meh2191"
"","https://medium.com/@meh2191"
"The Myth of a Superhuman AI","https://backchannel.com/the-myth-of-a-superhuman-ai-59282b686c62?source=topic---8------0-----------"
"Superintelligence and Public Opinion","https://shift.newco.co/superintelligence-and-public-opinion-228dbedad5b9?source=topic---8------1-----------"
"","https://medium.com/@RickWebb"
"Rick Webb","https://shift.newco.co/@RickWebb"
"The one crucial skill our education system is missing","https://medium.com/world-economic-forum/the-one-crucial-skill-our-education-system-is-missing-7907c636e495?source=topic---8------2-----------"
"","https://medium.com/@weforum"
"Sign in / Sign up","https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Ftopic%2Feditors-picks"
"We spent months bracing and preparing for the death of our daughter.","https://medium.com/@royceyoung/we-spent-months-bracing-and-preparing-for-the-death-of-our-daughter-79f357dd254d?source=topic---8------0-----------"
"Ten Things That Have Come Out Of My Mouth About The “Ten Bands” Thing On Facebook","https://theawl.com/ten-things-that-have-come-out-of-my-mouth-about-the-ten-bands-thing-on-facebook-647b9ef2fcf1?source=topic---8------2-----------"
"","https://medium.com/@sarahlovescali"
"Three Things I Lost","https://medium.com/@priya_ebooks/three-things-i-lost-580108ca0a2c?source=topic---8------3-----------"
"Red Rover","https://medium.com/literati-magazine/red-rover-703e02a7f68c?source=topic---8------1-----------"
"","https://medium.com/@mramsburg85"
"The Youngest Guy in the Room","https://medium.com/@GavinGrimmVA/the-youngest-guy-in-the-room-e7a3a989da96?source=topic---8------4-----------"
"The Unfortunate Truth Behind BASIS","https://medium.com/@andrewthoesen/the-unfortunate-truth-behind-basis-f7db092025da?source=topic---8------0-----------"
"","https://medium.com/@andrewthoesen"
"Our addiction to links is making good journalism harder to read","https://thecoffeelicious.com/our-addiction-to-links-is-making-good-journalism-harder-to-read-40515c45162f?source=topic---8------2-----------"
"","https://medium.com/@hiatuscc"
"Rob Howard","https://thecoffeelicious.com/@hiatuscc"
"I Grew Up In A Fundamentalist Cult — ‘The Handmaid’s Tale’ Was Reality","https://theestablishment.co/i-grew-up-in-a-fundamentalist-cult-the-handmaids-tale-was-my-reality-fae2f77263d9?source=topic---8------3-----------"
"","https://medium.com/@haettinger"
"haettinger","https://theestablishment.co/@haettinger"
"You’re the Same Wilderness You’ve Always Been","https://medium.com/@felsull/youre-the-same-wilderness-you-ve-always-been-1ef6c33b2b92?source=topic---8------1-----------"
"","https://medium.com/@felsull"
"the fight at the end of the tunnel","https://medium.com/@chrismayhap/the-fight-at-the-end-of-the-tunnel-2fb93a5346a4?source=topic---8------4-----------"
"","https://medium.com/@chrismayhap"
"The most tragic object I’ve ever seen","https://artplusmarketing.com/the-most-tragic-object-ive-ever-seen-5d2bccdeda3b?source=topic---8------0-----------"
"","https://medium.com/@tommycm"
"Tom Mitchell","https://artplusmarketing.com/@tommycm"
"To Everyone Who’s Just Barely Holding It Together","https://theestablishment.co/to-everyone-whos-just-barely-holding-it-together-cdb79b854384?source=topic---8------1-----------"
"","https://medium.com/@mshannabrooks"
"Hanna Brooks Olsen","https://theestablishment.co/@mshannabrooks"
"Chaos and Consequentialism","https://weird.solar/chaos-and-consequentialism-fd154eead4af?source=topic---8------2-----------"
"","https://medium.com/@ProofOfLogic"
"Proof Of Logic","https://weird.solar/@ProofOfLogic"
"Tweets From World War III","https://medium.com/the-athenaeum/tweets-from-world-war-iii-db457d4dcc86?source=topic---8------0-----------"
"","https://medium.com/@gutbloom"
"I Beg to Differ, Sir","https://medium.com/@matthewdavidbrozik/i-beg-to-differ-sir-f6666e264de?source=topic---8------2-----------"
"","https://medium.com/@matthewdavidbrozik"
"People Really Hate Being Told to Put Only One Space After a Period","https://melmagazine.com/people-really-hate-being-told-to-put-only-one-space-after-a-period-c47e2e81787c?source=topic---8------0-----------"
"","https://medium.com/@j_m_mcdermott"
"John McDermott","https://melmagazine.com/@j_m_mcdermott"
"Is a Virus a Living Creature?","https://medium.com/the-philipendium/is-a-virus-a-living-creature-8664a9496ece?source=topic---8------2-----------"
"","https://medium.com/@philipbouchard"
"My Parents and the Tipper Sticker","https://theawl.com/nine-inch-nails-parental-advisory-sticker-tipper-gore-cadb1ccb189c?source=topic---8------3-----------"
"","https://medium.com/@RickPaulas"
"Rick Paulas","https://theawl.com/@RickPaulas"
"Highlights","https://medium.com/@thisisgorman/highlights-c6cd78c3540e?source=topic---8------1-----------"
"","https://medium.com/@thisisgorman"
"On Grief.","https://medium.com/@Ramou/on-grief-a4432ca48ff5?source=topic---8------4-----------"
"","https://medium.com/@Ramou"
"On Policing Disability","https://medium.com/@carolynzaikowski/on-policing-disability-5524145d0528?source=topic---8------0-----------"
"A [big, beautiful] Tree Grows in Brooklyn [if you’re wealthy]","https://perplex.city/a-big-beautiful-tree-grows-in-brooklyn-if-youre-wealthy-eceea155cec0?source=topic---8------1-----------"
"","https://medium.com/@walkerharrison1000"
"Walker Harrison","https://perplex.city/@walkerharrison1000"
"Talking Ugly","https://medium.com/athena-talks/talking-ugly-b1e5fd6df38e?source=topic---8------2-----------"
"","https://medium.com/@christine.e.sinclair"
"Sign in / Sign up","https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Ftopic%2Fworld"
"History","https://medium.com/topic/history"
"Media","https://medium.com/topic/media"
"The Far Left Is Still Out Of Touch With Black Voters","https://theestablishment.co/the-far-left-is-still-out-of-touch-with-black-voters-90194cfddba6?source=topic---8------0-----------"
"","https://medium.com/@marcushjohnson"
"Next-Door Neighbors: The Human Aspect of Cuban-American Relations","https://medium.com/@DidacticDave/after-decades-of-military-commercial-and-political-conflict-it-can-be-hard-to-put-your-thumb-on-db41cc4c0a02?source=topic---8------2-----------"
"The rural and post-industrial bubble is real and dangerous in France, in the US and everywhere","https://extranewsfeed.com/the-rural-and-post-industrial-bubble-is-real-and-dangerous-in-france-in-the-us-and-everywhere-3de91573b369?source=topic---8------3-----------"
"","https://medium.com/@soufron"
"Jean-Baptiste Soufron","https://extranewsfeed.com/@soufron"
"5 Pro Tips for Talking to Kids About Climate Change (Without Freaking Them Out)","https://medium.com/rainforest-alliance/5-pro-tips-for-talking-to-kids-about-climate-change-without-freaking-them-out-94d4ae27a2b9?source=topic---8------1-----------"
"Democracy Check: Trump at 100 Days","https://medium.com/@ryanjsuto/democracy-check-trump-at-100-days-3e5a45300591?source=topic---8------4-----------"
"","https://medium.com/@ryanjsuto"
"What Is Bernie’s Strategy?","https://medium.com/@bonannyc/what-is-bernies-strategy-73afc47a1b93?source=topic---8------0-----------"
"When It Comes To Healthcare Republicans Have A Strange Definition For “Freedom”","https://medium.com/everyvote/when-it-comes-to-healthcare-republicans-have-a-strange-definition-for-freedom-ee3bfd8cac78?source=topic---8------2-----------"
"","https://medium.com/@VeryRecent1"
"Russia’s Intervention in Syria — A Case Study","https://medium.com/center-for-strategic-and-international-studies/russias-intervention-in-syria-a-case-study-fbe211de3488?source=topic---8------3-----------"
"","https://medium.com/@csis"
"Federal Court Calls Trump’s Threats to Defund Sanctuary Cities Unconstitutional","https://medium.com/aclu/federal-court-calls-trumps-threats-to-defund-sanctuary-cities-unconstitutional-109aa68363e9?source=topic---8------1-----------"
"More Signs Emerge That Russiagate Is Dying","https://medium.com/@caityjohnstone/more-signs-that-russiagate-is-dying-27918d682c53?source=topic---8------4-----------"
"","https://medium.com/@caityjohnstone"
"That’s One Small Comment For Trump, One Giant Miscue For Space Exploration","https://rantt.com/thats-one-small-comment-for-trump-one-giant-miscue-for-space-exploration-41c0fc1ab6c3?source=topic---8------0-----------"
"","https://medium.com/@gfish3000"
"Greg Fish","https://rantt.com/@gfish3000"
"Tax Reform That Works Would Look Nothing Like the Albatross Trump Proposes","https://medium.com/@richardwilkins_51183/tax-reform-that-works-would-look-nothing-like-the-albatross-trump-proposes-5cc5513a9e8f?source=topic---8------1-----------"
"","https://medium.com/@richardwilkins_51183"
"Why I Organize: Confessions of a Teenage Activist Who is Fed Up.","https://medium.com/@sophiesiegel/why-i-organize-confessions-of-a-teenage-activist-who-is-fed-up-f1322ee1d05c?source=topic---8------2-----------"
"","https://medium.com/@sophiesiegel"
"Getting out of your own bubble.","https://medium.com/@MrAlanCooper/getting-out-of-your-own-bubble-da6a66058db6?source=topic---8------0-----------"
"","https://medium.com/@MrAlanCooper"
"Six Reasons The Second Round In France Could Be Closer Than Polls Suggest.","https://politicsmeanspolitics.com/six-reasons-the-second-round-in-france-could-be-closer-than-polls-suggest-c68692ad362b?source=topic---8------1-----------"
"","https://medium.com/@predata"
"Predata","https://politicsmeanspolitics.com/@predata"
"How Do You Solve a Problem?: North Korea","https://medium.com/@nicholasgrossman/how-do-you-solve-a-problem-north-korea-69175f68b8de?source=topic---8------2-----------"
"","https://medium.com/@nicholasgrossman"
"America Can’t Afford Another War","https://medium.com/defiant/america-cant-afford-another-war-225110c48193?source=topic---8------0-----------"
"","https://medium.com/@mjgault"
"Bernie Sanders Has Always Sacrificed Pragmatism For Idealism, But Now It’s Hurting Democrats","https://rantt.com/bernie-sanders-has-always-sacrificed-pragmatism-for-idealism-but-now-its-hurting-democrats-da6a21bca163?source=topic---8------2-----------"
"","https://medium.com/@bcunningham428"
"Bob Cunningham","https://rantt.com/@bcunningham428"
